mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto,Target
2019-07,000,TOTAL,28031,CADALSO DE LOS VIDRIOS,77,031,86.78,86.78
2019-07,010,TOTAL EUROPA,28031,CADALSO DE LOS VIDRIOS,70,031,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28031,CADALSO DE LOS VIDRIOS,62,031,86.78,86.78
2019-07,000,TOTAL,28032,CAMARMA DE ESTERUELAS,172,032,86.78,86.78
2019-07,010,TOTAL EUROPA,28032,CAMARMA DE ESTERUELAS,138,032,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28032,CAMARMA DE ESTERUELAS,110,032,86.78,86.78
2019-07,000,TOTAL,28033,CAMPO REAL,139,033,86.78,86.78
2019-07,010,TOTAL EUROPA,28033,CAMPO REAL,109,033,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28033,CAMPO REAL,104,033,86.78,86.78
2019-07,000,TOTAL,28034,CANENCIA,72,034,86.78,86.78
2019-07,010,TOTAL EUROPA,28034,CANENCIA,68,034,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28034,CANENCIA,62,034,86.78,86.78
2019-07,121,PAÍSES BAJOS,28034,CANENCIA,31,034,78.92,78.92
2019-07,000,TOTAL,28035,CARABAÑA,66,035,86.78,86.78
2019-07,010,TOTAL EUROPA,28035,CARABAÑA,51,035,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28035,CARABAÑA,38,035,86.78,86.78
2019-07,000,TOTAL,28036,CASARRUBUELOS,129,036,86.78,86.78
2019-07,010,TOTAL EUROPA,28036,CASARRUBUELOS,105,036,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28036,CASARRUBUELOS,105,036,86.78,86.78
2019-07,110,FRANCIA,28036,CASARRUBUELOS,36,036,76.36,76.36
2019-07,000,TOTAL,28037,CENICIENTOS,36,037,86.78,86.78
2019-07,000,TOTAL,28038,CERCEDILLA,281,038,86.78,86.78
2019-07,010,TOTAL EUROPA,28038,CERCEDILLA,223,038,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28038,CERCEDILLA,176,038,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28038,CERCEDILLA,47,038,86.78,86.78
2019-07,031,TOTAL AMÉRICA DEL NORTE,28038,CERCEDILLA,31,038,86.78,86.78
2019-07,102,AUSTRIA,28038,CERCEDILLA,42,038,92.57,92.57
2019-07,110,FRANCIA,28038,CERCEDILLA,32,038,76.36,76.36
2019-07,125,REINO UNIDO,28038,CERCEDILLA,34,038,123.22,123.22
2019-07,000,TOTAL,28040,CIEMPOZUELOS,1274,040,86.78,86.78
